model,data,fraction,roc,ap
IFSKNN,satimage-2,0.4,0.9985,0.9653
IFSKNN,satimage-2,0.41000000000000003,0.9986,0.9653
IFSKNN,satimage-2,0.42000000000000004,0.9986,0.9653
IFSKNN,satimage-2,0.43,0.9987,0.9664
IFSKNN,satimage-2,0.44,0.9988,0.9678
IFSKNN,satimage-2,0.45,0.9988,0.9678
IFSKNN,satimage-2,0.46,0.9987,0.9678
IFSKNN,satimage-2,0.47000000000000003,0.9987,0.9678
IFSKNN,satimage-2,0.48000000000000004,0.9987,0.9687
IFSKNN,satimage-2,0.49,0.9987,0.9687
IFSKNN,satimage-2,0.5,0.999,0.9683
IFSKNN,satimage-2,0.51,0.9986,0.9651
IFSKNN,satimage-2,0.52,0.9986,0.9651
IFSKNN,satimage-2,0.53,0.9985,0.9645
IFSKNN,satimage-2,0.54,0.9985,0.9645
IFSKNN,satimage-2,0.55,0.9984,0.9653
IFSKNN,satimage-2,0.56,0.9984,0.9653
IFSKNN,satimage-2,0.5700000000000001,0.9985,0.9654
IFSKNN,satimage-2,0.5800000000000001,0.9986,0.966
IFSKNN,satimage-2,0.59,0.9986,0.966
IFSKNN,satimage-2,0.6,0.9984,0.9646
IFSKNN,satimage-2,0.61,0.9984,0.9646
IFSKNN,satimage-2,0.62,0.9984,0.9656
IFSKNN,satimage-2,0.63,0.9984,0.9656
IFSKNN,satimage-2,0.64,0.9985,0.9671
IFSKNN,satimage-2,0.65,0.9986,0.9674
IFSKNN,satimage-2,0.66,0.9986,0.9674
IFSKNN,satimage-2,0.67,0.9985,0.9655
IFSKNN,satimage-2,0.68,0.9985,0.9655
IFSKNN,satimage-2,0.6900000000000001,0.9984,0.9649
IFSKNN,satimage-2,0.7000000000000001,0.9984,0.9649
IFSKNN,satimage-2,0.7100000000000001,0.9985,0.9659
IFSKNN,satimage-2,0.72,0.9983,0.9656
IFSKNN,satimage-2,0.73,0.9983,0.9656
IFSKNN,satimage-2,0.74,0.9985,0.9655
IFSKNN,satimage-2,0.75,0.9985,0.9655
IFSKNN,satimage-2,0.76,0.9988,0.9673
IFSKNN,satimage-2,0.77,0.9988,0.9673
IFSKNN,satimage-2,0.78,0.9985,0.9656
IFSKNN,satimage-2,0.79,0.9985,0.9653
IFSKNN,satimage-2,0.8,0.9985,0.9653
IFSKNN,satimage-2,0.81,0.9985,0.9655
IFSKNN,satimage-2,0.8200000000000001,0.9985,0.9655
IFSKNN,satimage-2,0.8300000000000001,0.9984,0.9651
IFSKNN,satimage-2,0.8400000000000001,0.9984,0.9651
IFSKNN,satimage-2,0.85,0.9984,0.9658
IFSKNN,satimage-2,0.86,0.9989,0.9671
IFSKNN,satimage-2,0.87,0.9989,0.9671
IFSKNN,satimage-2,0.88,0.9985,0.966
IFSKNN,satimage-2,0.89,0.9985,0.966
IFSKNN,satimage-2,0.9,0.9984,0.9654
IFSKNN,satimage-2,0.91,0.9984,0.9654
IFSKNN,satimage-2,0.92,0.9986,0.9669
IFSKNN,satimage-2,0.93,0.9986,0.9661
IFSKNN,satimage-2,0.9400000000000001,0.9986,0.9661
IFSKNN,satimage-2,0.9500000000000001,0.9985,0.9646
IFSKNN,satimage-2,0.9600000000000001,0.9985,0.9646
IFSKNN,satimage-2,0.97,0.9984,0.9653
IFSKNN,satimage-2,0.98,0.9984,0.9653
IFSKNN,satimage-2,0.99,0.9984,0.9659
IFSKNN,satimage-2,1.0,0.9987,0.9666

OCSVM,satimage-2,0.01,0.9965,0.9528
OCSVM,satimage-2,0.02,0.9966,0.9661
OCSVM,satimage-2,0.03,0.9966,0.9661
OCSVM,satimage-2,0.04,0.9966,0.9661
OCSVM,satimage-2,0.05,0.9966,0.9661
OCSVM,satimage-2,0.060000000000000005,0.9966,0.9661
OCSVM,satimage-2,0.06999999999999999,0.9966,0.9661
OCSVM,satimage-2,0.08,0.9966,0.9661
OCSVM,satimage-2,0.09,0.9966,0.966
OCSVM,satimage-2,0.09999999999999999,0.9966,0.966
OCSVM,satimage-2,0.11,0.9966,0.966
OCSVM,satimage-2,0.12,0.9966,0.966
OCSVM,satimage-2,0.13,0.9966,0.966
OCSVM,satimage-2,0.14,0.9966,0.966
OCSVM,satimage-2,0.15000000000000002,0.9966,0.9661
OCSVM,satimage-2,0.16,0.9966,0.9661
OCSVM,satimage-2,0.17,0.9966,0.9661
OCSVM,satimage-2,0.18000000000000002,0.9966,0.9661
